tier,white_required,blue_required,green_required,red_required,black_required,type,points,sum
1,0,3,0,0,0,white,0,3
1,0,0,0,2,1,white,0,3
1,0,1,1,1,1,white,0,4
1,0,2,0,0,2,white,0,4
1,0,0,4,0,0,white,1,4
1,0,1,2,1,1,white,0,5
1,0,2,2,0,1,white,0,5
1,3,1,0,0,1,white,0,5
1,1,0,0,0,2,blue,0,3
1,0,0,0,0,3,blue,0,3
1,1,0,1,1,1,blue,0,4
1,0,0,2,0,2,blue,0,4
1,0,0,0,4,0,blue,1,4
1,1,0,1,2,1,blue,0,5
1,1,0,2,2,0,blue,0,5
1,0,1,3,1,0,blue,0,5
1,2,1,0,0,0,green,0,3
1,0,0,0,3,0,green,0,3
1,1,1,0,1,1,green,0,4
1,0,2,0,2,0,green,0,4
1,0,0,0,0,4,green,1,4
1,1,1,0,1,2,green,0,5
1,0,1,0,2,2,green,0,5
1,1,3,1,0,0,green,0,5
1,0,2,1,0,0,red,0,3
1,3,0,0,0,0,red,0,3
1,1,1,1,0,1,red,0,4
1,2,0,0,2,0,red,0,4
1,4,0,0,0,0,red,1,4
1,2,1,1,0,1,red,0,5
1,2,0,1,0,2,red,0,5
1,1,0,0,1,3,red,0,5
1,0,0,2,1,0,black,0,3
1,0,0,3,0,0,black,0,3
1,1,1,1,1,0,black,0,4
1,2,0,2,0,0,black,0,4
1,0,4,0,0,0,black,1,4
1,1,2,1,1,0,black,0,5
1,2,2,0,1,0,black,0,5
1,0,0,1,3,1,black,0,5
