tier,white_required,blue_required,green_required,red_required,black_required,type,points,sum
3,0,0,0,0,7,white,4,7
3,3,0,0,0,7,white,5,10
3,3,0,0,3,6,white,4,12
3,0,3,3,5,3,white,3,14
3,7,0,0,0,0,blue,4,7
3,7,3,0,0,0,blue,5,10
3,6,3,0,0,3,blue,4,12
3,3,0,3,3,5,blue,3,14
3,0,7,0,0,0,green,4,7
3,0,7,3,0,0,green,5,10
3,3,6,3,0,0,green,4,12
3,5,3,0,3,3,green,3,14
3,0,0,7,0,0,red,4,7
3,0,0,7,3,0,red,5,10
3,0,3,6,3,0,red,4,12
3,3,5,3,0,3,red,3,14
3,0,0,0,7,0,black,4,7
3,0,0,0,7,3,black,5,10
3,0,0,3,6,3,black,4,12
3,3,3,5,3,0,black,3,14
